Species ,Trophic,Replicate,Tile ,Quad,Day 
Control,Control,1,7,2,1
Control,Control,1,4,1,3
Control,Control,1,3,1,5
Control,Control,1,2,1,7
Control,Control,1,8,1,9
Control,Control,1,1,2,11
Control,Control,1,6,1,13
Control,Control,1,1,1,15
Control,Control,1,2,3,17
Control,Control,1,4,4,19
Control,Control,1,6,3,21
Control,Control,1,1,3,23
Control,Control,1,2,2,25
Control,Control,1,7,3,27
Control,Control,1,7,4,29
Control,Control,1,3,2,31
Control,Control,1,6,2,33
Control,Control,1,4,3,35
Control,Control,1,6,4,37
Control,Control,1,4,2,39
Control,Control,1,5,4,41
Control,Control,1,5,1,43
Control,Control,1,3,3,45
Control,Control,1,1,4,47
Control,Control,1,8,4,49
Control,Control,1,5,2,51
Control,Control,1,5,3,53
Control,Control,1,8,2,55
Control,Control,1,8,3,57
Control,Control,1,7,1,59
Control,Control,1,3,4,63
Control,Control,2,7,4,1
Control,Control,2,6,3,3
Control,Control,2,3,2,5
Control,Control,2,3,4,7
Control,Control,2,5,4,9
Control,Control,2,4,3,11
Control,Control,2,7,1,13
Control,Control,2,1,3,15
Control,Control,2,3,1,17
Control,Control,2,4,1,19
Control,Control,2,5,2,21
Control,Control,2,7,3,23
Control,Control,2,2,2,25
Control,Control,2,1,2,27
Control,Control,2,2,3,29
Control,Control,2,5,3,31
Control,Control,2,3,3,33
Control,Control,2,6,1,35
Control,Control,2,4,4,37
Control,Control,2,2,1,39
Control,Control,2,5,1,41
Control,Control,2,8,4,43
Control,Control,2,8,1,45
Control,Control,2,1,1,47
Control,Control,2,2,4,49
Control,Control,2,8,3,51
Control,Control,2,7,2,53
Control,Control,2,1,4,55
Control,Control,2,4,2,57
Control,Control,2,6,2,59
Control,Control,2,6,4,63
Control,Control,3,3,1,1
Control,Control,3,8,3,3
Control,Control,3,6,4,5
Control,Control,3,7,3,7
Control,Control,3,4,2,9
Control,Control,3,2,2,11
Control,Control,3,2,4,13
Control,Control,3,5,2,15
Control,Control,3,3,3,17
Control,Control,3,7,4,19
Control,Control,3,8,1,21
Control,Control,3,2,3,23
Control,Control,3,3,2,25
Control,Control,3,7,2,27
Control,Control,3,4,1,29
Control,Control,3,5,1,31
Control,Control,3,1,3,33
Control,Control,3,2,1,35
Control,Control,3,8,4,37
Control,Control,3,6,3,39
Control,Control,3,4,4,41
Control,Control,3,1,1,43
Control,Control,3,5,3,45
Control,Control,3,8,2,47
Control,Control,3,7,1,49
Control,Control,3,3,4,51
Control,Control,3,1,4,53
Control,Control,3,6,1,55
Control,Control,3,5,4,57
Control,Control,3,1,2,59
Control,Control,3,4,3,63
Control,Control,4,1,3,1
Control,Control,4,4,3,3
Control,Control,4,7,1,5
Control,Control,4,5,4,7
Control,Control,4,1,1,9
Control,Control,4,2,1,11
Control,Control,4,7,2,13
Control,Control,4,6,2,15
Control,Control,4,3,2,17
Control,Control,4,6,2,19
Control,Control,4,2,4,21
Control,Control,4,5,1,23
Control,Control,4,7,4,25
Control,Control,4,5,3,27
Control,Control,4,4,4,29
Control,Control,4,1,4,31
Control,Control,4,6,4,33
Control,Control,4,3,4,35
Control,Control,4,2,2,37
Control,Control,4,1,2,39
Control,Control,4,8,1,41
Control,Control,4,3,1,43
Control,Control,4,8,2,45
Control,Control,4,8,4,47
Control,Control,4,6,1,51
Control,Control,4,4,1,53
Control,Control,4,7,3,55
Control,Control,4,8,3,57
Control,Control,4,4,2,59
Control,Control,4,5,2,63
Limosus,Omnivore,1,6,1,1
Limosus,Omnivore,1,2,1,3
Limosus,Omnivore,1,4,2,5
Limosus,Omnivore,1,7,3,7
Limosus,Omnivore,1,2,2,9
Limosus,Omnivore,1,2,3,11
Limosus,Omnivore,1,8,2,13
Limosus,Omnivore,1,5,3,15
Limosus,Omnivore,1,1,2,17
Limosus,Omnivore,1,6,2,19
Limosus,Omnivore,1,8,3,21
Limosus,Omnivore,1,6,4,23
Limosus,Omnivore,1,4,4,25
Limosus,Omnivore,1,1,4,27
Limosus,Omnivore,1,7,2,29
Limosus,Omnivore,1,7,4,31
Limosus,Omnivore,1,6,3,33
Limosus,Omnivore,1,5,2,35
Limosus,Omnivore,1,3,2,37
Limosus,Omnivore,1,3,3,39
Limosus,Omnivore,1,5,4,41
Limosus,Omnivore,1,2,4,43
Limosus,Omnivore,1,1,1,45
Limosus,Omnivore,1,1,3,47
Limosus,Omnivore,1,4,3,49
Limosus,Omnivore,1,4,1,51
Limosus,Omnivore,1,3,4,53
Limosus,Omnivore,1,8,4,55
Limosus,Omnivore,1,3,1,57
Limosus,Omnivore,1,7,1,59
Limosus,Omnivore,1,8,1,63
Limosus,Omnivore,2,7,4,1
Limosus,Omnivore,2,8,3,3
Limosus,Omnivore,2,2,2,5
Limosus,Omnivore,2,3,2,7
Limosus,Omnivore,2,4,1,9
Limosus,Omnivore,2,6,3,11
Limosus,Omnivore,2,6,2,13
Limosus,Omnivore,2,8,1,15
Limosus,Omnivore,2,1,4,17
Limosus,Omnivore,2,2,3,19
Limosus,Omnivore,2,4,3,21
Limosus,Omnivore,2,3,1,23
Limosus,Omnivore,2,2,4,25
Limosus,Omnivore,2,1,3,27
Limosus,Omnivore,2,4,4,29
Limosus,Omnivore,2,5,2,31
Limosus,Omnivore,2,6,1,33
Limosus,Omnivore,2,5,1,35
Limosus,Omnivore,2,5,3,37
Limosus,Omnivore,2,6,4,39
Limosus,Omnivore,2,1,1,41
Limosus,Omnivore,2,7,3,43
Limosus,Omnivore,2,3,4,45
Limosus,Omnivore,2,4,2,47
Limosus,Omnivore,2,8,4,49
Limosus,Omnivore,2,1,2,51
Limosus,Omnivore,2,5,4,53
Limosus,Omnivore,2,2,1,55
Limosus,Omnivore,2,7,1,57
Limosus,Omnivore,2,3,3,59
Limosus,Omnivore,2,8,2,63
Limosus,Omnivore,3,3,2,1
Limosus,Omnivore,3,4,4,3
Limosus,Omnivore,3,7,3,5
Limosus,Omnivore,3,6,4,7
Limosus,Omnivore,3,5,2,9
Limosus,Omnivore,3,2,1,11
Limosus,Omnivore,3,1,2,13
Limosus,Omnivore,3,2,2,15
Limosus,Omnivore,3,5,4,17
Limosus,Omnivore,3,1,1,19
Limosus,Omnivore,3,3,3,21
Limosus,Omnivore,3,3,4,23
Limosus,Omnivore,3,6,2,25
Limosus,Omnivore,3,5,1,27
Limosus,Omnivore,3,5,3,29
Limosus,Omnivore,3,4,2,31
Limosus,Omnivore,3,7,2,33
Limosus,Omnivore,3,1,3,35
Limosus,Omnivore,3,4,1,37
Limosus,Omnivore,3,6,4,39
Limosus,Omnivore,3,7,4,41
Limosus,Omnivore,3,2,4,43
Limosus,Omnivore,3,3,1,45
Limosus,Omnivore,3,8,2,47
Limosus,Omnivore,3,8,1,49
Limosus,Omnivore,3,4,3,51
Limosus,Omnivore,3,7,1,53
Limosus,Omnivore,3,1,4,55
Limosus,Omnivore,3,8,4,57
Limosus,Omnivore,3,2,3,59
Limosus,Omnivore,3,8,3,63
Limosus,Omnivore,4,3,2,1
Limosus,Omnivore,4,1,3,3
Limosus,Omnivore,4,4,2,5
Limosus,Omnivore,4,4,4,7
Limosus,Omnivore,4,6,4,9
Limosus,Omnivore,4,8,4,11
Limosus,Omnivore,4,6,3,13
Limosus,Omnivore,4,1,1,15
Limosus,Omnivore,4,2,2,17
Limosus,Omnivore,4,8,2,19
Limosus,Omnivore,4,4,1,21
Limosus,Omnivore,4,7,1,23
Limosus,Omnivore,4,7,2,25
Limosus,Omnivore,4,5,3,27
Limosus,Omnivore,4,5,2,29
Limosus,Omnivore,4,7,3,31
Limosus,Omnivore,4,5,1,33
Limosus,Omnivore,4,8,3,35
Limosus,Omnivore,4,1,4,37
Limosus,Omnivore,4,7,4,39
Limosus,Omnivore,4,5,4,41
Limosus,Omnivore,4,3,3,43
Limosus,Omnivore,4,8,1,45
Limosus,Omnivore,4,3,1,47
Limosus,Omnivore,4,3,4,49
Limosus,Omnivore,4,2,4,51
Limosus,Omnivore,4,1,2,53
Limosus,Omnivore,4,2,1,55
Limosus,Omnivore,4,6,2,57
Limosus,Omnivore,4,4,3,59
Limosus,Omnivore,4,2,3,63
Limosus,Predator,1,5,4,1
Limosus,Predator,1,3,2,3
Limosus,Predator,1,3,3,5
Limosus,Predator,1,2,3,7
Limosus,Predator,1,4,3,9
Limosus,Predator,1,1,4,11
Limosus,Predator,1,4,4,13
Limosus,Predator,1,2,1,15
Limosus,Predator,1,4,2,17
Limosus,Predator,1,6,4,19
Limosus,Predator,1,2,2,21
Limosus,Predator,1,1,1,23
Limosus,Predator,1,6,3,25
Limosus,Predator,1,7,1,27
Limosus,Predator,1,8,4,29
Limosus,Predator,1,8,3,31
Limosus,Predator,1,6,2,33
Limosus,Predator,1,1,3,35
Limosus,Predator,1,4,1,37
Limosus,Predator,1,8,1,39
Limosus,Predator,1,5,2,41
Limosus,Predator,1,5,1,43
Limosus,Predator,1,3,4,45
Limosus,Predator,1,1,2,47
Limosus,Predator,1,7,4,49
Limosus,Predator,1,6,1,51
Limosus,Predator,1,8,2,53
Limosus,Predator,1,3,1,55
Limosus,Predator,1,2,4,57
Limosus,Predator,1,5,3,59
Limosus,Predator,1,7,3,63
Limosus,Predator,2,3,3,1
Limosus,Predator,2,3,2,3
Limosus,Predator,2,2,1,5
Limosus,Predator,2,6,2,7
Limosus,Predator,2,1,2,9
Limosus,Predator,2,4,2,11
Limosus,Predator,2,8,3,13
Limosus,Predator,2,8,4,15
Limosus,Predator,2,2,2,17
Limosus,Predator,2,1,3,19
Limosus,Predator,2,3,4,21
Limosus,Predator,2,4,4,23
Limosus,Predator,2,5,3,25
Limosus,Predator,2,7,2,27
Limosus,Predator,2,1,4,29
Limosus,Predator,2,2,3,31
Limosus,Predator,2,7,3,33
Limosus,Predator,2,5,4,35
Limosus,Predator,2,2,4,37
Limosus,Predator,2,5,1,39
Limosus,Predator,2,6,1,41
Limosus,Predator,2,8,1,43
Limosus,Predator,2,5,2,45
Limosus,Predator,2,3,1,47
Limosus,Predator,2,6,4,51
Limosus,Predator,2,7,1,53
Limosus,Predator,2,4,1,55
Limosus,Predator,2,7,4,57
Limosus,Predator,2,6,3,59
Limosus,Predator,2,1,1,63
Limosus,Predator,3,8,2,1
Limosus,Predator,3,6,4,3
Limosus,Predator,3,7,1,5
Limosus,Predator,3,7,3,7
Limosus,Predator,3,1,4,9
Limosus,Predator,3,2,2,11
Limosus,Predator,3,1,3,13
Limosus,Predator,3,3,4,15
Limosus,Predator,3,8,1,17
Limosus,Predator,3,8,4,19
Limosus,Predator,3,3,2,21
Limosus,Predator,3,4,1,23
Limosus,Predator,3,5,2,25
Limosus,Predator,3,1,1,27
Limosus,Predator,3,3,3,29
Limosus,Predator,3,6,1,31
Limosus,Predator,3,4,3,33
Limosus,Predator,3,2,3,35
Limosus,Predator,3,6,2,37
Limosus,Predator,3,6,3,39
Limosus,Predator,3,7,4,41
Limosus,Predator,3,4,4,43
Limosus,Predator,3,8,3,45
Limosus,Predator,3,7,2,47
Limosus,Predator,3,5,4,49
Limosus,Predator,3,2,1,51
Limosus,Predator,3,5,3,53
Limosus,Predator,3,3,1,55
Limosus,Predator,3,4,2,57
Limosus,Predator,3,1,2,59
Limosus,Predator,3,2,4,63
Limosus,Predator,4,2,4,1
Limosus,Predator,4,6,1,3
Limosus,Predator,4,6,4,5
Limosus,Predator,4,8,3,7
Limosus,Predator,4,1,3,9
Limosus,Predator,4,3,3,11
Limosus,Predator,4,8,1,13
Limosus,Predator,4,4,4,15
Limosus,Predator,4,7,4,17
Limosus,Predator,4,5,1,19
Limosus,Predator,4,1,4,21
Limosus,Predator,4,4,3,23
Limosus,Predator,4,5,2,25
Limosus,Predator,4,5,3,27
Limosus,Predator,4,5,4,29
Limosus,Predator,4,4,2,31
Limosus,Predator,4,6,2,33
Limosus,Predator,4,7,1,35
Limosus,Predator,4,3,2,37
Limosus,Predator,4,1,1,39
Limosus,Predator,4,3,4,41
Limosus,Predator,4,1,2,43
Limosus,Predator,4,8,4,45
Limosus,Predator,4,7,3,47
Limosus,Predator,4,4,1,49
Limosus,Predator,4,2,3,51
Limosus,Predator,4,7,2,53
Limosus,Predator,4,3,1,55
Limosus,Predator,4,2,2,57
Limosus,Predator,4,2,1,59
Limosus,Predator,4,6,3,63
Propinquus,Omnivore,1,6,2,1
Propinquus,Omnivore,1,8,4,3
Propinquus,Omnivore,1,7,4,5
Propinquus,Omnivore,1,7,2,7
Propinquus,Omnivore,1,6,3,9
Propinquus,Omnivore,1,7,3,11
Propinquus,Omnivore,1,6,4,13
Propinquus,Omnivore,1,7,1,15
Propinquus,Omnivore,1,8,1,17
Propinquus,Omnivore,1,3,2,19
Propinquus,Omnivore,1,2,3,21
Propinquus,Omnivore,1,3,1,23
Propinquus,Omnivore,1,1,1,25
Propinquus,Omnivore,1,5,3,27
Propinquus,Omnivore,1,8,3,29
Propinquus,Omnivore,1,3,3,31
Propinquus,Omnivore,1,1,2,33
Propinquus,Omnivore,1,5,1,35
Propinquus,Omnivore,1,4,2,37
Propinquus,Omnivore,1,2,2,39
Propinquus,Omnivore,1,5,2,41
Propinquus,Omnivore,1,2,4,43
Propinquus,Omnivore,1,6,1,45
Propinquus,Omnivore,1,8,2,47
Propinquus,Omnivore,1,1,4,49
Propinquus,Omnivore,1,1,3,51
Propinquus,Omnivore,1,2,1,53
Propinquus,Omnivore,1,4,1,55
Propinquus,Omnivore,1,4,4,57
Propinquus,Omnivore,1,3,4,59
Propinquus,Omnivore,1,4,3,63
Propinquus,Omnivore,2,4,3,1
Propinquus,Omnivore,2,1,4,3
Propinquus,Omnivore,2,3,4,5
Propinquus,Omnivore,2,6,2,7
Propinquus,Omnivore,2,7,1,9
Propinquus,Omnivore,2,4,4,11
Propinquus,Omnivore,2,3,1,13
Propinquus,Omnivore,2,4,2,15
Propinquus,Omnivore,2,6,3,17
Propinquus,Omnivore,2,1,3,19
Propinquus,Omnivore,2,8,4,21
Propinquus,Omnivore,2,7,4,23
Propinquus,Omnivore,2,4,1,25
Propinquus,Omnivore,2,2,4,27
Propinquus,Omnivore,2,2,3,29
Propinquus,Omnivore,2,2,2,31
Propinquus,Omnivore,2,3,3,33
Propinquus,Omnivore,2,3,2,35
Propinquus,Omnivore,2,2,1,37
Propinquus,Omnivore,2,5,4,39
Propinquus,Omnivore,2,5,1,41
Propinquus,Omnivore,2,5,2,43
Propinquus,Omnivore,2,8,2,45
Propinquus,Omnivore,2,6,4,47
Propinquus,Omnivore,2,5,3,49
Propinquus,Omnivore,2,7,2,51
Propinquus,Omnivore,2,8,3,53
Propinquus,Omnivore,2,1,1,55
Propinquus,Omnivore,2,1,2,57
Propinquus,Omnivore,2,8,1,59
Propinquus,Omnivore,2,7,3,63
Propinquus,Omnivore,3,2,2,1
Propinquus,Omnivore,3,1,4,3
Propinquus,Omnivore,3,3,1,5
Propinquus,Omnivore,3,4,3,7
Propinquus,Omnivore,3,7,2,9
Propinquus,Omnivore,3,5,3,11
Propinquus,Omnivore,3,8,4,13
Propinquus,Omnivore,3,6,2,15
Propinquus,Omnivore,3,5,2,17
Propinquus,Omnivore,3,7,3,19
Propinquus,Omnivore,3,2,3,21
Propinquus,Omnivore,3,1,2,23
Propinquus,Omnivore,3,3,4,25
Propinquus,Omnivore,3,2,4,27
Propinquus,Omnivore,3,6,1,29
Propinquus,Omnivore,3,1,3,31
Propinquus,Omnivore,3,1,1,33
Propinquus,Omnivore,3,7,1,35
Propinquus,Omnivore,3,4,1,37
Propinquus,Omnivore,3,3,3,39
Propinquus,Omnivore,3,4,2,41
Propinquus,Omnivore,3,8,3,43
Propinquus,Omnivore,3,5,1,45
Propinquus,Omnivore,3,6,4,47
Propinquus,Omnivore,3,2,1,49
Propinquus,Omnivore,3,4,4,51
Propinquus,Omnivore,3,8,1,53
Propinquus,Omnivore,3,6,3,55
Propinquus,Omnivore,3,3,2,57
Propinquus,Omnivore,3,5,4,59
Propinquus,Omnivore,3,8,2,63
Propinquus,Omnivore,4,2,2,1
Propinquus,Omnivore,4,5,4,3
Propinquus,Omnivore,4,1,4,5
Propinquus,Omnivore,4,3,3,7
Propinquus,Omnivore,4,2,3,9
Propinquus,Omnivore,4,8,4,11
Propinquus,Omnivore,4,2,4,13
Propinquus,Omnivore,4,8,2,15
Propinquus,Omnivore,4,4,2,17
Propinquus,Omnivore,4,6,1,19
Propinquus,Omnivore,4,2,1,21
Propinquus,Omnivore,4,7,1,23
Propinquus,Omnivore,4,3,1,25
Propinquus,Omnivore,4,8,1,27
Propinquus,Omnivore,4,4,4,29
Propinquus,Omnivore,4,5,1,31
Propinquus,Omnivore,4,7,3,33
Propinquus,Omnivore,4,3,4,35
Propinquus,Omnivore,4,7,2,37
Propinquus,Omnivore,4,1,1,39
Propinquus,Omnivore,4,6,4,41
Propinquus,Omnivore,4,1,2,43
Propinquus,Omnivore,4,5,2,45
Propinquus,Omnivore,4,3,2,47
Propinquus,Omnivore,4,4,3,49
Propinquus,Omnivore,4,6,3,51
Propinquus,Omnivore,4,1,3,53
Propinquus,Omnivore,4,6,2,55
Propinquus,Omnivore,4,4,1,57
Propinquus,Omnivore,4,8,3,59
Propinquus,Omnivore,4,5,3,63
Propinquus,Predator,1,8,3,1
Propinquus,Predator,1,7,1,3
Propinquus,Predator,1,4,3,5
Propinquus,Predator,1,3,3,7
Propinquus,Predator,1,4,2,9
Propinquus,Predator,1,1,3,11
Propinquus,Predator,1,2,1,13
Propinquus,Predator,1,4,4,15
Propinquus,Predator,1,2,4,17
Propinquus,Predator,1,5,4,19
Propinquus,Predator,1,4,1,21
Propinquus,Predator,1,2,3,23
Propinquus,Predator,1,1,2,25
Propinquus,Predator,1,3,4,27
Propinquus,Predator,1,6,4,29
Propinquus,Predator,1,7,2,31
Propinquus,Predator,1,6,1,33
Propinquus,Predator,1,5,2,35
Propinquus,Predator,1,8,4,37
Propinquus,Predator,1,5,1,39
Propinquus,Predator,1,3,2,41
Propinquus,Predator,1,3,1,43
Propinquus,Predator,1,2,2,45
Propinquus,Predator,1,6,3,47
Propinquus,Predator,1,7,3,49
Propinquus,Predator,1,8,2,51
Propinquus,Predator,1,6,2,53
Propinquus,Predator,1,7,4,55
Propinquus,Predator,1,5,3,57
Propinquus,Predator,1,1,4,59
Propinquus,Predator,1,8,1,63
Propinquus,Predator,2,1,4,1
Propinquus,Predator,2,2,4,3
Propinquus,Predator,2,7,2,5
Propinquus,Predator,2,2,2,7
Propinquus,Predator,2,4,4,9
Propinquus,Predator,2,4,1,11
Propinquus,Predator,2,5,1,13
Propinquus,Predator,2,2,3,15
Propinquus,Predator,2,4,2,17
Propinquus,Predator,2,3,1,19
Propinquus,Predator,2,2,1,21
Propinquus,Predator,2,3,4,23
Propinquus,Predator,2,1,2,25
Propinquus,Predator,2,1,3,27
Propinquus,Predator,2,7,3,29
Propinquus,Predator,2,7,4,31
Propinquus,Predator,2,4,3,33
Propinquus,Predator,2,6,2,35
Propinquus,Predator,2,1,1,37
Propinquus,Predator,2,6,4,39
Propinquus,Predator,2,6,3,41
Propinquus,Predator,2,6,1,43
Propinquus,Predator,2,3,3,45
Propinquus,Predator,2,5,2,47
Propinquus,Predator,2,8,3,49
Propinquus,Predator,2,8,4,51
Propinquus,Predator,2,3,2,53
Propinquus,Predator,2,5,4,55
Propinquus,Predator,2,5,3,57
Propinquus,Predator,2,7,1,59
Propinquus,Predator,2,8,1,63
Propinquus,Predator,3,1,3,1
Propinquus,Predator,3,4,2,3
Propinquus,Predator,3,5,2,5
Propinquus,Predator,3,3,2,7
Propinquus,Predator,3,3,4,9
Propinquus,Predator,3,8,4,11
Propinquus,Predator,3,2,4,13
Propinquus,Predator,3,7,3,15
Propinquus,Predator,3,6,3,17
Propinquus,Predator,3,4,1,19
Propinquus,Predator,3,3,1,21
Propinquus,Predator,3,6,1,23
Propinquus,Predator,3,2,2,25
Propinquus,Predator,3,1,2,27
Propinquus,Predator,3,5,3,29
Propinquus,Predator,3,1,1,31
Propinquus,Predator,3,1,4,33
Propinquus,Predator,3,2,1,35
Propinquus,Predator,3,7,2,37
Propinquus,Predator,3,5,1,39
Propinquus,Predator,3,8,2,41
Propinquus,Predator,3,4,3,43
Propinquus,Predator,3,6,4,45
Propinquus,Predator,3,8,3,47
Propinquus,Predator,3,5,4,49
Propinquus,Predator,3,4,4,51
Propinquus,Predator,3,7,4,53
Propinquus,Predator,3,2,3,55
Propinquus,Predator,3,6,2,57
Propinquus,Predator,3,7,1,59
Propinquus,Predator,3,3,3,63
