Species ,Trophic,Replicate,Tile ,Quad,Day 
Propinquus,Predator,4,1,1,1
Propinquus,Predator,4,8,1,3
Propinquus,Predator,4,2,4,5
Propinquus,Predator,4,3,2,7
Propinquus,Predator,4,6,2,9
Propinquus,Predator,4,7,1,11
Propinquus,Predator,4,8,2,13
Propinquus,Predator,4,1,2,15
Propinquus,Predator,4,8,4,17
Propinquus,Predator,4,3,1,19
Propinquus,Predator,4,2,3,21
Propinquus,Predator,4,7,4,23
Propinquus,Predator,4,7,3,25
Propinquus,Predator,4,1,4,27
Propinquus,Predator,4,5,2,29
Propinquus,Predator,4,2,1,31
Propinquus,Predator,4,4,4,33
Propinquus,Predator,4,8,3,35
Propinquus,Predator,4,4,3,37
Propinquus,Predator,4,5,4,39
Propinquus,Predator,4,5,3,41
Propinquus,Predator,4,1,3,43
Propinquus,Predator,4,7,2,45
Propinquus,Predator,4,4,1,47
Propinquus,Predator,4,6,1,49
Propinquus,Predator,4,3,4,51
Propinquus,Predator,4,5,1,53
Propinquus,Predator,4,2,2,55
Propinquus,Predator,4,4,2,57
Propinquus,Predator,4,3,3,59
Propinquus,Predator,4,6,4,63
Rusticus,Omnivore,1,3,2,1
Rusticus,Omnivore,1,2,4,3
Rusticus,Omnivore,1,8,2,5
Rusticus,Omnivore,1,1,3,7
Rusticus,Omnivore,1,4,1,9
Rusticus,Omnivore,1,5,4,11
Rusticus,Omnivore,1,3,1,13
Rusticus,Omnivore,1,7,1,15
Rusticus,Omnivore,1,4,2,17
Rusticus,Omnivore,1,8,4,19
Rusticus,Omnivore,1,2,1,21
Rusticus,Omnivore,1,3,4,23
Rusticus,Omnivore,1,5,3,25
Rusticus,Omnivore,1,6,2,27
Rusticus,Omnivore,1,6,3,29
Rusticus,Omnivore,1,6,1,31
Rusticus,Omnivore,1,4,4,33
Rusticus,Omnivore,1,7,4,35
Rusticus,Omnivore,1,6,4,37
Rusticus,Omnivore,1,7,3,39
Rusticus,Omnivore,1,8,1,41
Rusticus,Omnivore,1,1,2,43
Rusticus,Omnivore,1,1,1,45
Rusticus,Omnivore,1,5,1,47
Rusticus,Omnivore,1,7,2,49
Rusticus,Omnivore,1,3,3,51
Rusticus,Omnivore,1,1,4,53
Rusticus,Omnivore,1,2,2,55
Rusticus,Omnivore,1,2,3,57
Rusticus,Omnivore,1,4,3,59
Rusticus,Omnivore,1,5,2,63
Rusticus,Omnivore,2,7,3,1
Rusticus,Omnivore,2,8,3,3
Rusticus,Omnivore,2,5,2,5
Rusticus,Omnivore,2,5,3,7
Rusticus,Omnivore,2,8,2,9
Rusticus,Omnivore,2,3,2,11
Rusticus,Omnivore,2,5,4,13
Rusticus,Omnivore,2,4,1,15
Rusticus,Omnivore,2,3,1,17
Rusticus,Omnivore,2,4,4,19
Rusticus,Omnivore,2,1,4,21
Rusticus,Omnivore,2,6,4,23
Rusticus,Omnivore,2,3,4,25
Rusticus,Omnivore,2,6,2,27
Rusticus,Omnivore,2,7,4,29
Rusticus,Omnivore,2,2,2,31
Rusticus,Omnivore,2,2,3,33
Rusticus,Omnivore,2,3,3,35
Rusticus,Omnivore,2,4,3,37
Rusticus,Omnivore,2,1,3,39
Rusticus,Omnivore,2,6,1,41
Rusticus,Omnivore,2,7,2,43
Rusticus,Omnivore,2,2,1,45
Rusticus,Omnivore,2,1,1,47
Rusticus,Omnivore,2,7,1,49
Rusticus,Omnivore,2,5,1,51
Rusticus,Omnivore,2,8,1,53
Rusticus,Omnivore,2,6,3,55
Rusticus,Omnivore,2,4,2,57
Rusticus,Omnivore,2,8,4,59
Rusticus,Omnivore,2,1,2,63
Rusticus,Omnivore,3,8,3,1
Rusticus,Omnivore,3,7,3,3
Rusticus,Omnivore,3,7,1,5
Rusticus,Omnivore,3,1,4,7
Rusticus,Omnivore,3,2,2,9
Rusticus,Omnivore,3,1,2,11
Rusticus,Omnivore,3,4,2,13
Rusticus,Omnivore,3,7,2,15
Rusticus,Omnivore,3,5,1,17
Rusticus,Omnivore,3,6,3,19
Rusticus,Omnivore,3,3,3,21
Rusticus,Omnivore,3,6,1,23
Rusticus,Omnivore,3,1,3,25
Rusticus,Omnivore,3,3,4,27
Rusticus,Omnivore,3,8,4,29
Rusticus,Omnivore,3,3,2,31
Rusticus,Omnivore,3,8,1,33
Rusticus,Omnivore,3,8,2,35
Rusticus,Omnivore,3,7,4,37
Rusticus,Omnivore,3,5,4,39
Rusticus,Omnivore,3,4,4,41
Rusticus,Omnivore,3,3,1,43
Rusticus,Omnivore,3,2,4,45
Rusticus,Omnivore,3,1,1,47
Rusticus,Omnivore,3,4,1,49
Rusticus,Omnivore,3,2,3,51
Rusticus,Omnivore,3,2,1,53
Rusticus,Omnivore,3,4,3,55
Rusticus,Omnivore,3,6,4,57
Rusticus,Omnivore,3,6,2,59
Rusticus,Omnivore,3,5,2,63
Rusticus,Omnivore,4,8,1,1
Rusticus,Omnivore,4,2,4,3
Rusticus,Omnivore,4,4,2,5
Rusticus,Omnivore,4,7,2,7
Rusticus,Omnivore,4,1,1,9
Rusticus,Omnivore,4,1,3,11
Rusticus,Omnivore,4,3,1,13
Rusticus,Omnivore,4,8,4,15
Rusticus,Omnivore,4,1,2,17
Rusticus,Omnivore,4,7,4,19
Rusticus,Omnivore,4,2,1,21
Rusticus,Omnivore,4,3,4,23
Rusticus,Omnivore,4,6,1,25
Rusticus,Omnivore,4,8,2,27
Rusticus,Omnivore,4,4,3,29
Rusticus,Omnivore,4,8,3,31
Rusticus,Omnivore,4,3,3,33
Rusticus,Omnivore,4,2,2,35
Rusticus,Omnivore,4,7,1,37
Rusticus,Omnivore,4,5,4,39
Rusticus,Omnivore,4,1,4,41
Rusticus,Omnivore,4,5,1,43
Rusticus,Omnivore,4,4,4,45
Rusticus,Omnivore,4,5,2,47
Rusticus,Omnivore,4,3,2,49
Rusticus,Omnivore,4,4,1,51
Rusticus,Omnivore,4,5,3,53
Rusticus,Omnivore,4,7,3,55
Rusticus,Omnivore,4,6,3,57
Rusticus,Omnivore,4,6,4,59
Rusticus,Omnivore,4,2,3,63
Rusticus,Predator,1,3,2,1
Rusticus,Predator,1,4,4,3
Rusticus,Predator,1,1,1,5
Rusticus,Predator,1,5,4,7
Rusticus,Predator,1,6,3,9
Rusticus,Predator,1,1,4,11
Rusticus,Predator,1,2,1,13
Rusticus,Predator,1,6,2,15
Rusticus,Predator,1,5,3,17
Rusticus,Predator,1,3,3,19
Rusticus,Predator,1,1,2,21
Rusticus,Predator,1,8,3,23
Rusticus,Predator,1,4,2,25
Rusticus,Predator,1,4,1,27
Rusticus,Predator,1,5,1,29
Rusticus,Predator,1,2,2,31
Rusticus,Predator,1,2,3,33
Rusticus,Predator,1,8,1,35
Rusticus,Predator,1,6,4,37
Rusticus,Predator,1,8,2,39
Rusticus,Predator,1,6,1,41
Rusticus,Predator,1,5,2,43
Rusticus,Predator,1,7,1,45
Rusticus,Predator,1,3,1,47
Rusticus,Predator,1,3,4,49
Rusticus,Predator,1,4,3,51
Rusticus,Predator,1,8,4,53
Rusticus,Predator,1,7,4,55
Rusticus,Predator,1,1,3,57
Rusticus,Predator,1,7,2,59
Rusticus,Predator,1,7,3,63
Rusticus,Predator,2,4,3,1
Rusticus,Predator,2,2,4,3
Rusticus,Predator,2,1,2,5
Rusticus,Predator,2,7,3,7
Rusticus,Predator,2,7,1,9
Rusticus,Predator,2,7,4,11
Rusticus,Predator,2,3,4,13
Rusticus,Predator,2,6,1,15
Rusticus,Predator,2,2,1,17
Rusticus,Predator,2,7,2,19
Rusticus,Predator,2,3,1,21
Rusticus,Predator,2,5,3,23
Rusticus,Predator,2,5,2,25
Rusticus,Predator,2,8,2,27
Rusticus,Predator,2,4,2,29
Rusticus,Predator,2,5,4,31
Rusticus,Predator,2,8,1,33
Rusticus,Predator,2,5,1,35
Rusticus,Predator,2,3,2,37
Rusticus,Predator,2,4,1,39
Rusticus,Predator,2,6,3,41
Rusticus,Predator,2,2,2,43
Rusticus,Predator,2,3,3,45
Rusticus,Predator,2,6,2,47
Rusticus,Predator,2,6,4,49
Rusticus,Predator,2,8,4,51
Rusticus,Predator,2,2,3,53
Rusticus,Predator,2,8,3,55
Rusticus,Predator,2,1,1,57
Rusticus,Predator,2,1,3,59
Rusticus,Predator,2,1,4,63
Rusticus,Predator,3,8,3,1
Rusticus,Predator,3,8,1,3
Rusticus,Predator,3,3,1,5
Rusticus,Predator,3,3,2,7
Rusticus,Predator,3,4,4,9
Rusticus,Predator,3,4,2,11
Rusticus,Predator,3,2,1,13
Rusticus,Predator,3,1,1,15
Rusticus,Predator,3,6,4,17
Rusticus,Predator,3,7,1,19
Rusticus,Predator,3,3,4,21
Rusticus,Predator,3,7,2,23
Rusticus,Predator,3,4,1,25
Rusticus,Predator,3,7,4,27
Rusticus,Predator,3,3,3,29
Rusticus,Predator,3,1,4,31
Rusticus,Predator,3,5,3,33
Rusticus,Predator,3,2,4,35
Rusticus,Predator,3,7,3,37
Rusticus,Predator,3,1,2,39
Rusticus,Predator,3,6,2,41
Rusticus,Predator,3,8,2,43
Rusticus,Predator,3,1,3,45
Rusticus,Predator,3,5,2,47
Rusticus,Predator,3,5,4,49
Rusticus,Predator,3,2,3,51
Rusticus,Predator,3,6,3,53
Rusticus,Predator,3,4,3,55
Rusticus,Predator,3,2,2,57
Rusticus,Predator,3,6,1,59
Rusticus,Predator,3,5,1,63
Snail,Snail,1,6,4,1
Snail,Snail,1,3,1,3
Snail,Snail,1,2,1,5
Snail,Snail,1,7,1,7
Snail,Snail,1,1,2,9
Snail,Snail,1,2,2,11
Snail,Snail,1,8,2,13
Snail,Snail,1,5,4,15
Snail,Snail,1,4,1,17
Snail,Snail,1,8,4,19
Snail,Snail,1,5,1,21
Snail,Snail,1,7,4,23
Snail,Snail,1,1,4,25
Snail,Snail,1,1,3,27
Snail,Snail,1,4,2,29
Snail,Snail,1,7,3,31
Snail,Snail,1,4,4,33
Snail,Snail,1,2,4,35
Snail,Snail,1,3,3,37
Snail,Snail,1,5,2,39
Snail,Snail,1,4,3,41
Snail,Snail,1,5,3,43
Snail,Snail,1,6,2,45
Snail,Snail,1,2,3,47
Snail,Snail,1,3,4,49
Snail,Snail,1,7,2,51
Snail,Snail,1,3,2,53
Snail,Snail,1,8,1,55
Snail,Snail,1,6,1,57
Snail,Snail,1,8,3,59
Snail,Snail,1,1,1,63
Snail,Snail,2,8,1,1
Snail,Snail,2,3,3,3
Snail,Snail,2,7,1,5
Snail,Snail,2,8,2,7
Snail,Snail,2,8,3,9
Snail,Snail,2,2,3,11
Snail,Snail,2,4,1,13
Snail,Snail,2,7,3,15
Snail,Snail,2,1,1,17
Snail,Snail,2,1,3,19
Snail,Snail,2,1,4,21
Snail,Snail,2,5,2,23
Snail,Snail,2,5,3,25
Snail,Snail,2,7,2,27
Snail,Snail,2,2,1,29
Snail,Snail,2,8,4,31
Snail,Snail,2,4,2,33
Snail,Snail,2,2,4,35
Snail,Snail,2,3,1,37
Snail,Snail,2,2,2,39
Snail,Snail,2,5,4,41
Snail,Snail,2,6,2,43
Snail,Snail,2,4,4,45
Snail,Snail,2,6,3,47
Snail,Snail,2,5,1,49
Snail,Snail,2,6,1,51
Snail,Snail,2,1,2,53
Snail,Snail,2,3,2,55
Snail,Snail,2,6,4,57
Snail,Snail,2,4,3,59
Snail,Snail,2,7,4,63
Snail,Snail,3,6,1,1
Snail,Snail,3,8,1,3
Snail,Snail,3,4,2,5
Snail,Snail,3,5,2,7
Snail,Snail,3,1,3,9
Snail,Snail,3,4,4,11
Snail,Snail,3,1,4,13
Snail,Snail,3,6,2,15
Snail,Snail,3,8,4,17
Snail,Snail,3,8,3,19
Snail,Snail,3,3,4,21
Snail,Snail,3,2,1,23
Snail,Snail,3,1,2,25
Snail,Snail,3,7,3,27
Snail,Snail,3,3,3,29
Snail,Snail,3,5,4,31
Snail,Snail,3,2,3,33
Snail,Snail,3,3,1,35
Snail,Snail,3,1,1,37
Snail,Snail,3,6,3,39
Snail,Snail,3,7,2,41
Snail,Snail,3,4,1,43
Snail,Snail,3,4,3,45
Snail,Snail,3,5,3,47
Snail,Snail,3,5,1,49
Snail,Snail,3,3,2,51
Snail,Snail,3,6,4,53
Snail,Snail,3,8,2,55
Snail,Snail,3,7,1,57
Snail,Snail,3,2,2,59
Snail,Snail,3,2,4,63
Snail,Snail,4,4,3,1
Snail,Snail,4,4,2,3
Snail,Snail,4,1,1,5
Snail,Snail,4,8,4,7
Snail,Snail,4,5,2,9
Snail,Snail,4,2,1,11
Snail,Snail,4,1,3,13
Snail,Snail,4,8,1,15
Snail,Snail,4,4,4,17
Snail,Snail,4,3,4,19
Snail,Snail,4,7,3,21
Snail,Snail,4,5,3,23
Snail,Snail,4,6,4,25
Snail,Snail,4,6,2,27
Snail,Snail,4,2,4,29
Snail,Snail,4,6,1,31
Snail,Snail,4,2,2,33
Snail,Snail,4,5,1,35
Snail,Snail,4,5,4,37
Snail,Snail,4,1,4,39
Snail,Snail,4,3,1,41
Snail,Snail,4,7,2,43
Snail,Snail,4,8,2,45
Snail,Snail,4,8,3,47
Snail,Snail,4,3,2,49
Snail,Snail,4,3,3,51
Snail,Snail,4,4,1,53
Snail,Snail,4,2,3,55
Snail,Snail,4,6,3,57
Snail,Snail,4,1,2,59
Snail,Snail,4,7,4,63
Virilis,Omnivore,1,5,3,1
Virilis,Omnivore,1,1,2,3
Virilis,Omnivore,1,3,3,5
Virilis,Omnivore,1,6,3,7
Virilis,Omnivore,1,5,2,9
Virilis,Omnivore,1,8,2,11
Virilis,Omnivore,1,1,1,13
Virilis,Omnivore,1,3,4,15
Virilis,Omnivore,1,4,2,17
Virilis,Omnivore,1,4,4,19
Virilis,Omnivore,1,3,1,21
Virilis,Omnivore,1,3,2,23
Virilis,Omnivore,1,6,2,25
Virilis,Omnivore,1,2,2,27
Virilis,Omnivore,1,2,1,29
Virilis,Omnivore,1,2,4,31
Virilis,Omnivore,1,6,1,33
Virilis,Omnivore,1,4,1,35
Virilis,Omnivore,1,6,4,37
Virilis,Omnivore,1,1,4,39
Virilis,Omnivore,1,7,3,41
Virilis,Omnivore,1,7,2,43
Virilis,Omnivore,1,5,1,45
Virilis,Omnivore,1,7,1,47
Virilis,Omnivore,1,7,4,49
Virilis,Omnivore,1,8,1,51
Virilis,Omnivore,1,8,3,53
Virilis,Omnivore,1,8,4,55
Virilis,Omnivore,1,2,3,57
Virilis,Omnivore,1,1,3,59
Virilis,Omnivore,1,5,4,63
Virilis,Omnivore,2,4,3,1
Virilis,Omnivore,2,1,2,3
Virilis,Omnivore,2,3,2,5
Virilis,Omnivore,2,8,3,7
Virilis,Omnivore,2,4,4,9
Virilis,Omnivore,2,5,2,11
Virilis,Omnivore,2,2,1,13
Virilis,Omnivore,2,2,2,15
Virilis,Omnivore,2,8,2,17
Virilis,Omnivore,2,5,1,19
Virilis,Omnivore,2,8,4,21
Virilis,Omnivore,2,4,1,23
Virilis,Omnivore,2,5,3,25
Virilis,Omnivore,2,7,3,27
Virilis,Omnivore,2,7,4,29
Virilis,Omnivore,2,3,4,31
Virilis,Omnivore,2,7,1,33
Virilis,Omnivore,2,6,2,35
Virilis,Omnivore,2,3,1,37
Virilis,Omnivore,2,3,3,39
Virilis,Omnivore,2,2,4,41
Virilis,Omnivore,2,5,2,43
Virilis,Omnivore,2,1,3,45
Virilis,Omnivore,2,6,4,47
Virilis,Omnivore,2,1,1,49
Virilis,Omnivore,2,1,4,51
Virilis,Omnivore,2,6,1,53
Virilis,Omnivore,2,7,2,55
Virilis,Omnivore,2,4,2,57
Virilis,Omnivore,2,6,3,59
Virilis,Omnivore,2,8,1,63
Virilis,Omnivore,3,7,3,1
Virilis,Omnivore,3,6,2,3
Virilis,Omnivore,3,8,4,5
Virilis,Omnivore,3,2,3,7
Virilis,Omnivore,3,4,2,9
Virilis,Omnivore,3,4,4,11
Virilis,Omnivore,3,7,2,13
Virilis,Omnivore,3,2,4,15
Virilis,Omnivore,3,5,1,17
Virilis,Omnivore,3,3,4,19
Virilis,Omnivore,3,5,2,21
Virilis,Omnivore,3,7,1,23
Virilis,Omnivore,3,5,4,25
Virilis,Omnivore,3,3,1,27
Virilis,Omnivore,3,4,3,29
Virilis,Omnivore,3,1,1,31
Virilis,Omnivore,3,6,1,33
Virilis,Omnivore,3,8,1,35
Virilis,Omnivore,3,6,4,37
Virilis,Omnivore,3,3,3,39
Virilis,Omnivore,3,5,3,41
Virilis,Omnivore,3,8,3,43
Virilis,Omnivore,3,3,2,45
Virilis,Omnivore,3,7,4,47
Virilis,Omnivore,3,2,1,49
Virilis,Omnivore,3,1,2,51
Virilis,Omnivore,3,2,2,53
Virilis,Omnivore,3,1,4,55
Virilis,Omnivore,3,6,3,57
Virilis,Omnivore,3,4,1,59
Virilis,Omnivore,3,1,3,63
Virilis,Omnivore,4,5,1,1
Virilis,Omnivore,4,4,1,3
Virilis,Omnivore,4,3,4,5
Virilis,Omnivore,4,7,1,7
Virilis,Omnivore,4,6,1,9
Virilis,Omnivore,4,2,1,11
Virilis,Omnivore,4,8,3,13
Virilis,Omnivore,4,2,2,15
Virilis,Omnivore,4,7,3,17
Virilis,Omnivore,4,6,3,19
Virilis,Omnivore,4,5,3,21
Virilis,Omnivore,4,3,3,23
Virilis,Omnivore,4,5,4,25
Virilis,Omnivore,4,4,2,27
Virilis,Omnivore,4,6,2,29
Virilis,Omnivore,4,2,4,31
Virilis,Omnivore,4,1,3,33
Virilis,Omnivore,4,3,1,35
Virilis,Omnivore,4,8,2,37
Virilis,Omnivore,4,7,2,39
Virilis,Omnivore,4,6,4,41
Virilis,Omnivore,4,2,3,43
Virilis,Omnivore,4,4,3,45
Virilis,Omnivore,4,8,1,47
Virilis,Omnivore,4,4,4,49
Virilis,Omnivore,4,7,4,51
Virilis,Omnivore,4,1,4,53
Virilis,Omnivore,4,1,2,55
Virilis,Omnivore,4,5,2,57
Virilis,Omnivore,4,3,2,59
Virilis,Omnivore,4,1,1,63
Virilis,Predator,1,7,3,1
Virilis,Predator,1,3,2,3
Virilis,Predator,1,3,2,5
Virilis,Predator,1,1,3,7
Virilis,Predator,1,4,1,9
Virilis,Predator,1,7,2,11
Virilis,Predator,1,4,3,13
Virilis,Predator,1,2,3,15
Virilis,Predator,1,5,4,17
Virilis,Predator,1,5,3,19
Virilis,Predator,1,7,4,21
Virilis,Predator,1,1,1,23
Virilis,Predator,1,1,2,25
Virilis,Predator,1,8,2,27
Virilis,Predator,1,7,1,29
Virilis,Predator,1,8,3,31
Virilis,Predator,1,6,1,33
Virilis,Predator,1,1,4,35
Virilis,Predator,1,2,2,37
Virilis,Predator,1,6,2,39
Virilis,Predator,1,8,1,41
Virilis,Predator,1,3,4,43
Virilis,Predator,1,6,3,45
Virilis,Predator,1,5,1,47
Virilis,Predator,1,5,2,49
Virilis,Predator,1,2,4,51
Virilis,Predator,1,4,2,53
Virilis,Predator,1,2,1,55
Virilis,Predator,1,8,4,57
Virilis,Predator,1,4,4,59
Virilis,Predator,1,6,4,63
Virilis,Predator,2,2,3,1
Virilis,Predator,2,8,2,3
Virilis,Predator,2,5,4,5
Virilis,Predator,2,7,4,7
Virilis,Predator,2,1,2,9
Virilis,Predator,2,8,3,11
Virilis,Predator,2,4,4,13
Virilis,Predator,2,3,4,15
Virilis,Predator,2,8,1,17
Virilis,Predator,2,2,4,19
Virilis,Predator,2,1,3,21
Virilis,Predator,2,3,3,23
Virilis,Predator,2,7,3,25
Virilis,Predator,2,5,1,27
Virilis,Predator,2,6,3,29
Virilis,Predator,2,2,2,31
Virilis,Predator,2,7,1,33
Virilis,Predator,2,2,1,35
Virilis,Predator,2,4,3,37
Virilis,Predator,2,6,2,39
Virilis,Predator,2,6,1,41
Virilis,Predator,2,5,3,43
Virilis,Predator,2,5,2,45
Virilis,Predator,2,6,4,47
Virilis,Predator,2,4,1,49
Virilis,Predator,2,3,1,51
Virilis,Predator,2,7,2,53
Virilis,Predator,2,8,4,55
Virilis,Predator,2,1,1,57
Virilis,Predator,2,3,2,59
Virilis,Predator,2,4,2,63
Virilis,Predator,3,5,2,1
Virilis,Predator,3,5,4,3
Virilis,Predator,3,8,2,5
Virilis,Predator,3,2,1,7
Virilis,Predator,3,5,1,9
Virilis,Predator,3,2,3,11
Virilis,Predator,3,3,1,13
Virilis,Predator,3,1,3,15
Virilis,Predator,3,6,2,17
Virilis,Predator,3,5,3,19
Virilis,Predator,3,8,1,21
Virilis,Predator,3,2,4,23
Virilis,Predator,3,3,4,25
Virilis,Predator,3,4,2,27
Virilis,Predator,3,2,2,29
Virilis,Predator,3,7,2,31
Virilis,Predator,3,7,1,33
Virilis,Predator,3,6,1,35
Virilis,Predator,3,4,3,37
Virilis,Predator,3,1,2,39
Virilis,Predator,3,1,1,41
Virilis,Predator,3,6,3,43
Virilis,Predator,3,8,4,45
Virilis,Predator,3,1,4,47
Virilis,Predator,3,4,4,49
Virilis,Predator,3,3,2,51
Virilis,Predator,3,3,3,53
Virilis,Predator,3,7,3,55
Virilis,Predator,3,7,4,57
Virilis,Predator,3,4,1,59
Virilis,Predator,3,6,4,63
Virilis,Predator,4,2,3,1
Virilis,Predator,4,2,1,3
Virilis,Predator,4,3,2,5
Virilis,Predator,4,6,3,7
Virilis,Predator,4,5,2,9
Virilis,Predator,4,5,1,11
Virilis,Predator,4,1,4,13
Virilis,Predator,4,3,1,15
Virilis,Predator,4,4,2,17
Virilis,Predator,4,4,3,19
Virilis,Predator,4,1,2,21
Virilis,Predator,4,4,1,23
Virilis,Predator,4,8,4,25
Virilis,Predator,4,6,1,27
Virilis,Predator,4,4,4,29
Virilis,Predator,4,2,4,31
Virilis,Predator,4,3,4,33
Virilis,Predator,4,7,1,35
Virilis,Predator,4,2,2,37
Virilis,Predator,4,5,3,39
Virilis,Predator,4,8,3,41
Virilis,Predator,4,8,2,43
Virilis,Predator,4,6,2,45
Virilis,Predator,4,3,3,47
Virilis,Predator,4,7,3,49
Virilis,Predator,4,5,4,51
Virilis,Predator,4,7,2,53
Virilis,Predator,4,8,1,55
Virilis,Predator,4,6,4,57
Virilis,Predator,4,1,1,59
Virilis,Predator,4,1,3,63